date,ticker,stock_name,target_label,label_leader_type,label_theme,label_status,negative_reason_tags,leader_score,stage_label,score_coverage,evaluated_rule_count,top_features,risk_flags,missing_components,event_id,available_at,feature_version,score_version
2023-03-22,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-23,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-24,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-27,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-28,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,5,momentum_setup,0.7273,8,amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-29,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-30,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,6,momentum_setup,0.7273,8,near_120d_high|near_250d_high|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-03-31,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,6,momentum_setup,0.7273,8,near_120d_high|near_250d_high|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-04-03,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,8,breakout_candidate,0.7273,8,near_120d_high|near_250d_high|amount_expansion|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
2023-04-04,300308.SZ,中际旭创,1,institutional_trend,CPO_AI_optical_module,positive_research_seed,,6,momentum_setup,0.7273,8,near_120d_high|near_250d_high|outperform_market|sufficient_base_turnover|low_overhead_supply_proxy,,amount_rank_market|rs_industry_20d|rs_rank_market_20d,,,cn-wave-features-v0.4.0,cn-wave-market-behavior-v0.2.0
